image,name,range,effeciency,battery,price
https://ev-database.org/img/auto/Volkswagen_ID4_GTX_2024/Volkswagen_ID4_GTX_2024-01-thumb.jpg,VolkswagenID.4,435 km,182 Wh/km,79.0 kWh,"€53,255"
https://ev-database.org/img/auto/Polestar_3_MY26/Polestar_3_MY26-01-thumb.jpg,Polestar3,500 km,204 Wh/km,102.0 kWh,"£77,990"
https://ev-database.org/img/auto/Mercedes_EQT_2023/Mercedes_EQT_2023-01-thumb.jpg,Mercedes-BenzEQT,225 km,200 Wh/km,45.0 kWh,"€39,623"
https://ev-database.org/img/auto/Nissan_Townstar_2023/Nissan_Townstar_2023-01-thumb.jpg,NissanTownstar,225 km,200 Wh/km,45.0 kWh,"€39,990"
https://ev-database.org/img/auto/VinFast_VF_6/VinFast_VF_6-01-thumb.jpg,VinFastVF,315 km,189 Wh/km,59.6 kWh,"€34,990"
https://ev-database.org/img/auto/TOGG_T10F/TOGG_T10F-01-thumb.jpg,TOGGT10F,465 km,183 Wh/km,85.0 kWh,"€48,600"
https://ev-database.org/img/auto/BMW_iX_M70_2025/BMW_iX_M70_2025-01-thumb.jpg,BMWiX,500 km,218 Wh/km,108.9 kWh,"€124,900"
https://ev-database.org/img/auto/Kia_EV4_hatchback_2025/Kia_EV4_hatchback_2025-01-thumb.jpg,KiaEV4,340 km,162 Wh/km,55.0 kWh,"€37,590"
https://ev-database.org/img/auto/Nissan_Ariya/Nissan_Ariya-01-thumb.jpg,NissanAriya,405 km,215 Wh/km,87.0 kWh,"€57,490"
https://ev-database.org/img/auto/Volvo_ES90/Volvo_ES90-01-thumb.jpg,VolvoES90,485 km,181 Wh/km,88.0 kWh,"€71,990"
https://ev-database.org/img/auto/Kia_EV9_GT_2025/Kia_EV9_GT_2025-01-thumb.jpg,KiaEV9,420 km,229 Wh/km,96.0 kWh,"€89,990"
https://ev-database.org/img/auto/KGM_Musso_EV/KGM_Musso_EV-01-thumb.jpg,KGMMusso,365 km,222 Wh/km,81.0 kWh,"€41,990"
https://ev-database.org/img/auto/XPENG_G9_2025/XPENG_G9_2025-01-thumb.jpg,XPENGG9,410 km,191 Wh/km,78.2 kWh,"€59,600"
https://ev-database.org/img/auto/Smart_5_2025/Smart_5_2025-01-thumb.jpg,Smart#5,450 km,209 Wh/km,94.0 kWh,"€56,900"
https://ev-database.org/img/auto/Citroen_e-C4_X_2024/Citroen_e-C4_X_2024-01-thumb.jpg,Citroënë-C4,290 km,160 Wh/km,46.3 kWh,"€32,600"
https://ev-database.org/img/auto/Tesla_Model_X_2026/Tesla_Model_X_2026-01-thumb.jpg,TeslaModel,490 km,194 Wh/km,95.0 kWh,"€115,970"
https://ev-database.org/img/auto/Ford_Capri_2024/Ford_Capri_2024-01-thumb.jpg,FordCapri,320 km,163 Wh/km,52.0 kWh,"€44,950"
https://ev-database.org/img/auto/TOGG_T10X/TOGG_T10X-01-thumb.jpg,TOGGT10X,425 km,200 Wh/km,85.0 kWh,"€49,200"
https://ev-database.org/img/auto/DS_3_2023/DS_3_2023-01-thumb.jpg,DS,300 km,169 Wh/km,50.8 kWh,"€40,540"
https://ev-database.org/img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg,AudiA6,570 km,166 Wh/km,94.9 kWh,"€79,800"
https://ev-database.org/img/auto/Volkswagen_ID7_GTX/Volkswagen_ID7_GTX-01-thumb.jpg,VolkswagenID.7,500 km,172 Wh/km,86.0 kWh,"€63,265"
https://ev-database.org/img/auto/Alfa_Romeo_Junior/Alfa_Romeo_Junior-01-thumb.jpg,Alfa,310 km,164 Wh/km,50.8 kWh,"€48,500"
https://ev-database.org/img/auto/Porsche_Taycan_Turbo_GT_Weissach_2024/Porsche_Taycan_Turbo_GT_Weissach_2024-01-thumb.jpg,PorscheTaycan,475 km,204 Wh/km,97.0 kWh,"€240,000"
https://ev-database.org/img/auto/Volvo_ES90/Volvo_ES90-01-thumb.jpg,VolvoES90,535 km,191 Wh/km,102.0 kWh,"€94,490"
https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg,Mercedes-BenzEQE,525 km,170 Wh/km,89.0 kWh,"€67,187"
